hough_no_lines,hough_line_sd,hough_sd,hough_kurtosis,hough_max_z
4,0.112036787685,37.5488214828,12.20681925682922,7.80091876536
23,0.662452027591,115.715846595,0.36314100357653567,3.16265978463
1,0.0,13.6687147856,170.77524027639777,26.4717645863
1,0.0,30.1571654806,42.598682909673066,14.9995209475
2,1.49181774053,16.3860360976,38.61560728235754,12.5716035759
32,0.884834246069,70.7546144321,-0.25732867353582334,3.17711006617
3,1.42734493086,37.0636555357,29.173582153968958,10.367139944
2,0.0263261954211,15.2250785037,67.35111048183514,17.7750807613
21,0.83746961343,86.3934547828,-0.48671177416027556,2.96517538043
3,1.32699191411,21.1337523026,27.700250336521737,12.3137496839
9,1.37261024475,72.7156000154,4.86752095794521,5.27057639514
28,0.931614365636,90.3510526644,0.6915978296243619,3.75520242841
31,0.731920941844,84.4940013368,0.8595686415787367,3.52513061448
20,1.1236249252,101.566233707,0.8929253264396131,3.93288187838
27,0.914533085352,98.878502148,-0.18874549527984819,2.85726987346
20,1.17139539809,96.7106604051,1.8207656664308223,3.99437182189
27,0.835623499197,115.159289959,0.2968893010119191,3.31875092436
21,1.09971593409,90.3393521064,1.0291892602113517,4.13198668461
1,0.0,17.3593448543,27.588667733297964,12.0665814566
34,0.868823182672,128.449470191,-0.6607319877131013,2.76279068705
7,1.12198547025,88.371759431,2.2896879621344386,4.29750160258
25,0.872618564344,104.957119013,-0.8902085913566227,2.62020657504
28,0.787415085879,95.6089893359,0.09779471370982362,3.13903537821
14,0.754614503804,95.4904225277,1.6659481902377609,4.35752815198
22,1.00411807584,86.5518983977,0.45846184803696177,3.10545492177
21,0.99126486608,86.2820952687,0.4612812590600943,3.10567955232
30,1.06052327382,98.2299122445,0.8711119123701656,3.79379347375
27,1.08630609917,99.6331173012,-0.1981074322097025,2.72822814706
13,0.847836348909,72.731040879,1.5646299988329222,4.13849900658
27,0.874845069069,97.3763978111,1.1409752708617509,3.83867146868
11,1.01010342999,26.367304363,3.6489096187195615,6.23527551942
10,0.656465500717,41.316541612,8.442221798288609,5.92165016039
40,0.92798542249,121.789066864,-0.1272792588096765,2.84366611672
7,1.24920778765,22.4912533487,9.456565320280864,8.2116284029
4,1.25153304299,50.5252063895,12.841820307472027,8.00189478702
18,0.581156652663,77.0871991477,0.0340586149773654,3.47594111518
1,0.0,16.9051715635,118.98237555800732,26.3980777473
22,0.887582073577,66.6957936789,0.3625359443944194,2.9942873482
29,1.16626275196,115.89172881,-0.1018524019758047,3.17997900123
21,0.86174607137,96.4954374949,0.8186457903330591,3.58748567794
1,0.0,18.2062707545,92.92866945025968,21.6503161458
28,0.974782908062,113.4119971,0.4959379444775509,3.14583120943
17,1.18496834784,91.8599754308,2.0226466795743177,3.98748376455
19,0.957566807919,73.3922295658,2.4995915986192063,4.78122303342
1,0.0,18.4171570912,30.271346559378102,12.9046337331
1,0.0,16.5613631981,90.94588206015422,21.5637912987
1,0.0,11.7153812101,141.55228032743835,28.7168013055
22,1.00473015602,83.7092356259,0.7060134961463285,3.24897876623
33,1.07428017306,114.990550042,-0.37678287392378573,2.79195986003
27,1.07042908751,75.1666027739,1.3181192984485772,4.30224639624
9,1.19740836099,62.5938857937,7.231675327718351,6.13515430906
38,0.990226790815,125.727738343,-0.7696344577367791,2.3424425181
1,0.0,10.1566645075,51.18996454682511,15.0753140187
18,0.810899837322,47.2983420523,2.9789660461335075,4.0466593268
11,0.910407200152,54.0405092253,4.253334251132158,6.86496121739
27,0.895610941569,112.058507701,0.5071629591515832,3.21616984684
31,0.989966529253,127.090832285,-0.21954969504839505,2.91500193014
8,1.32963214864,65.4574883931,5.708254068168683,5.67379792749
