hough_no_lines,hough_line_sd,hough_sd,hough_kurtosis,hough_max_z
25,1.07364386323,79.5661193942,2.057930418573373,4.25516542189
33,1.00240527527,84.3043729484,1.2945465636276658,4.17691262843
22,0.981727967606,86.4290783957,1.3651500920198476,3.88849454649
29,1.13715014956,85.109549962,0.581112672921277,4.00679123384
30,0.972514067212,112.058081404,0.32073386521336555,3.28511514755
34,1.21199572754,93.9490514233,0.0826943162326601,3.17168855314
20,1.15534744759,89.8982256624,2.0084291144153683,4.02031203904
25,1.15273848124,102.568301127,0.28333731102821247,3.11209210345
37,0.993088125255,101.025900999,0.13152505140580573,3.22978658508
26,1.0851001723,81.7463933962,0.7647925356012752,4.36106138375
33,1.10060244211,84.1940772238,0.5896835446020865,3.42802667523
15,1.18811160979,91.2772331935,2.4263491638600128,4.11098722672
16,1.23824057859,49.7843947873,2.798723432315426,5.99109422289
22,1.08544892905,83.651078622,1.5391677458475819,4.22709988036
35,0.889360392133,105.685878325,0.6284982549687994,3.36436622977
29,1.06289746656,61.3705604259,1.6401729801889129,4.20219417007
23,0.924993600024,72.0526211812,2.6953028305744455,4.97995642072
38,1.06273640348,62.5346094249,1.6463388948037618,3.65747467048
28,0.995263279301,93.5496426698,0.6557010993419512,3.53765056179
25,0.975548003938,96.1898185311,0.8773873351060986,3.59603846004
21,1.04087698487,97.7977190315,1.6400940847169023,3.75138952637
25,1.14334248789,90.5561148043,0.09398053123166239,3.49663159496
18,1.25209352991,68.9330231349,2.63072283965786,5.17550020747
24,0.905827906054,95.7389005941,0.7073640880734815,3.64881649639
13,1.08782273397,55.4164672812,3.3782281107328505,6.30140606816
31,0.965216626102,78.841902793,2.1589173208351813,4.41866935012
10,1.21697408274,59.6350657052,4.53737932995277,5.60969120397
46,1.01023100389,104.135591055,-0.11685634672775125,2.89673297039
43,1.00636253272,94.6602374577,0.14432046904618634,3.50020250211
37,1.01747685273,90.1891640295,0.24255400260245175,3.7125019001
34,0.932180576537,104.728486469,0.04701820491896758,3.38623374683
34,0.932180576537,104.728486469,0.04701820491896758,3.38623374683
33,1.06454403945,81.679097407,1.5504151287713883,4.28769257442
13,1.19640875776,90.4015026956,0.9879468315309401,4.3504695117
30,1.02334324341,103.535739212,0.6524539803147476,3.44049446041
28,1.07959166447,108.223855931,0.8254034797700975,3.49708271076
35,0.926279310673,108.495720157,0.6027822121962894,3.37675315466
48,0.980893692431,78.7503791988,-0.1345435448228156,3.50009864636
30,0.823962513006,119.624167867,0.10590328685779538,3.18780798345
26,1.09213534386,73.5620979901,1.5409054937828843,4.85073504784
20,0.792178409994,96.7892325416,-0.39080519445000395,3.42936217818
38,0.998166041145,106.965770524,0.8194274965432067,3.34868807324
36,1.0566289651,107.48342905,0.045189966234544965,3.11617220169
33,1.05337412408,90.8852301391,0.17670269916652348,3.25877973298
16,1.12005853013,44.3270431177,3.680954309023435,5.96245500288
17,1.0485838537,95.3392686826,1.3826498622365841,4.17949350751
18,1.0201092889,74.5209623941,1.836263036764672,4.24655520125
